method,solution,cluster,cluster_size,cluster_share,avg_Total_Spend,avg_Income,avg_Recency,avg_Total_Purchases,avg_Average_Spend_Per_Purchase,avg_Household_Children,avg_Response,avg_Campaign_Acceptance_Total,avg_Web_Purchase_Share,avg_Catalog_Purchase_Share,avg_Store_Purchase_Share,avg_Deal_Purchase_Share,avg_Wine_Spend_Share,avg_Meat_Spend_Share,avg_Fish_Spend_Share,avg_Fruit_Spend_Share,avg_Sweet_Spend_Share,avg_Gold_Spend_Share
kmeans,kmeans_k3,0,706,0.3191681735985534,1243.0609065155807,73225.79178470255,49.93059490084986,19.172804532577903,66.27961771742841,0.3385269121813031,0.23512747875354106,0.5623229461756374,0.26645219082464705,0.2939011348485842,0.4396466743267686,0.08533384171735621,0.42495983908986007,0.3173003860785343,0.07845064753502168,0.05561359922244173,0.058132152714471926,0.0655433753596701
kmeans,kmeans_k3,1,835,0.37748643761301987,495.45988023952094,51905.65389221557,47.80239520958084,12.8562874251497,32.762340382971466,1.3497005988023951,0.11976047904191617,0.25748502994011974,0.3841637638163667,0.1339654114217786,0.4818708247618546,0.2907101258152235,0.6539747271622369,0.18252720345490317,0.02894014951619379,0.02078356046328789,0.02007437183209976,0.09369998757127825
kmeans,kmeans_k3,2,671,0.30334538878842676,77.44709388971684,29648.67213114754,49.575260804769,5.256333830104322,12.947393604904784,1.0879284649776453,0.09985096870342772,0.07153502235469449,0.3256432092497666,0.06713432700765039,0.5982805859482462,0.36254236945369583,0.2522206997051126,0.2601826229442561,0.11751874824102468,0.07867669594744786,0.08128748966394961,0.210113743498209
kmeans,kmeans_k4,0,706,0.3191681735985534,698.429178470255,56219.932011331446,48.59206798866855,15.940509915014164,41.24337689046657,1.1869688385269122,0.15864022662889518,0.3385269121813031,0.39504266337617217,0.16773078163317748,0.4372265549906502,0.25078873508923294,0.6381655609661733,0.1817737108859091,0.03656030609419029,0.026434975270921535,0.026165780281961506,0.09089966650084412
kmeans,kmeans_k4,1,621,0.2807414104882459,1253.011272141707,74159.63285024154,49.608695652173914,18.903381642512077,67.5564233119845,0.2753623188405797,0.23510466988727857,0.5748792270531401,0.2527109420924563,0.30147890089093693,0.4458101570166067,0.07910835393261535,0.41553953068207067,0.32896231550754446,0.07845158841783477,0.05526720873375025,0.05696644777308073,0.0648129088857189
kmeans,kmeans_k4,2,490,0.22151898734177214,64.90612244897959,37282.73469387755,48.810204081632655,5.061224489795919,11.999872044055717,1.5551020408163265,0.0673469387755102,0.07346938775510205,0.31948331713637834,0.05347586653709102,0.625,0.3655045351473923,0.5086696289918311,0.26440309349012653,0.044016176677284434,0.02566075209834509,0.028522962485029908,0.12872738625738275
kmeans,kmeans_k4,3,395,0.17857142857142858,101.92911392405064,27645.430379746835,49.11645569620253,5.886075949367089,14.904721959943478,0.8227848101265823,0.10632911392405063,0.07088607594936709,0.34181808135605607,0.08243784626063105,0.5630858445352116,0.35689676006131704,0.14553817791989407,0.22488980715464874,0.15774258985729514,0.11101706158356495,0.11271354252384319,0.24809882096075372
kmeans,kmeans_k5,0,623,0.28164556962025317,1251.9614767255216,74094.9823434992,49.507223113964685,18.897271268057786,67.49449306544571,0.27768860353130015,0.23595505617977527,0.5778491171749599,0.2526171183569583,0.30128931932282554,0.446093562320216,0.07959616212564262,0.4160756305348944,0.32873146247689083,0.0782932883082895,0.055175457548521434,0.056930294545602146,0.06479386658580157
kmeans,kmeans_k5,1,387,0.17495479204339964,102.24547803617571,27577.994832041342,49.01808785529716,5.912144702842378,14.539820186751712,0.8268733850129198,0.10852713178294573,0.07235142118863049,0.3429532404144807,0.08078281465878363,0.5633440482859088,0.31971313211623287,0.14289696202401617,0.22180297519470063,0.16005558106812404,0.11117428221565406,0.113661135067899,0.25040906442960587
kmeans,kmeans_k5,2,708,0.32007233273056057,694.8940677966102,56327.50141242938,48.67655367231639,15.891242937853107,41.129181424160684,1.189265536723164,0.15677966101694915,0.3333333333333333,0.39494660771985235,0.16715057508149522,0.4379028171986523,0.251206567189832,0.638437414163325,0.18155134209212398,0.03658661932850862,0.026400374028372243,0.026110157923692066,0.09091409246397787
kmeans,kmeans_k5,3,493,0.222875226039783,64.04259634888439,36939.41582150102,48.870182555780936,5.040567951318458,11.89498052094401,1.5436105476673427,0.06693711967545639,0.07302231237322515,0.3198235616085514,0.05292829775588395,0.6252197430696417,0.3652797900769503,0.5038348668688063,0.2666536272015322,0.04410827841534607,0.026811747141676712,0.029086137012642104,0.12950534335999653
kmeans,kmeans_k5,4,1,0.0004520795660036166,178.0,8028.0,62.0,1.0,178.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.4101123595505618,0.3707865168539326,0.0393258426966292,0.1011235955056179,0.0674157303370786,0.0112359550561797
kmeans,kmeans_k6,0,543,0.24547920433996384,780.8195211786372,58618.05156537753,47.049723756906076,16.94290976058932,44.256359857186595,1.152854511970534,0.15653775322283608,0.40331491712707185,0.3812703236184355,0.17656051778170254,0.4421691585998619,0.22927502481989734,0.7018890249472093,0.15215384022726341,0.028785927565897505,0.02093959853553779,0.021711289769141114,0.0745203189549508
kmeans,kmeans_k6,1,334,0.15099457504520797,70.58682634730539,26060.314371257486,47.547904191616766,5.089820359281437,12.521299035296039,0.8203592814371258,0.10179640718562874,0.0718562874251497,0.31600212827757734,0.07379112072225844,0.5952366911199246,0.3318414286977161,0.13324939689306128,0.21609710655760417,0.16806985158877283,0.11722343358552853,0.11272196332511042,0.2526382480499226
kmeans,kmeans_k6,2,619,0.2798372513562387,1256.7415185783523,74146.47495961227,49.478190630048466,18.89983844911147,67.84489170541953,0.2778675282714055,0.23263327948303716,0.5654281098546042,0.2528152135283397,0.3011628908531937,0.4460218956184666,0.07877657380257136,0.41475538370808457,0.33065895947497126,0.07827154830251225,0.05470200630329711,0.056670673303371104,0.06494142890776353
kmeans,kmeans_k6,3,393,0.17766726943942135,56.56234096692112,38066.17048346056,49.51399491094148,4.801526717557252,11.081726387833259,1.6055979643765903,0.030534351145038167,0.061068702290076333,0.2922737002889675,0.04850770518709449,0.6566740652618515,0.3587909263481782,0.5426172384521851,0.24693488279613846,0.04027876477079236,0.023161987562577514,0.026082942155079624,0.12092418426322682
